Provisional Final Fantasy IV ROM Map

Last Updated: 2024-05-15 16:06:36 UTC

The following is a provisional ROM map of Final Fantasy IV. It is currently
automatically generated from the source files of an incomplete disassembly of
the game. As such, things may be mislabeled or otherwise incorrect. Use this
information at your own risk. Here is a brief description of each field:

Label           A descriptive-ish name given to the region of code or data. May
                or may not be specific enough to accurately describe the region.
                Labels prefixed by underscores are subroutines expected to be
                used within the same bank (JSR/RTS). Other subroutines should be
                accessed with JSL/RTL. Most data blocks are suffixed with _data,
                but there are some scragglers that slipped through. Labels that
                start with CODE_ or DATA_ are ones that I have not bothered to
                accurately label yet beyond their use as code or data.

Mapped Address  The address of the region as accessed on the SNES system bus.
                Unless you have a particularly good reason (editing a file
                directly in a hex editor), you should always be use this
                address, as any written pointers will need to be written in
                this form anyway.

Binary Address  The address of the region in the actual ROM dump. As far as the
                game itself is concerned, this address does not exist. It is
                primarily useful for direct hex editing, but its use should
                otherwise be limited.

Type            A vague description of what this region contains.

Size            The size of the region in bytes. Do note that since a single
                logical region can occasionally have multiple labels, this value
                is not necessarily accurate.

+-----------------------------------------------------------------------+---------------------+-------------------+---------+--------+
|                                 Label                                 |   Mapped Address    |  Binary Address   |  Type   |  Size  |
| _battle_timer_set_action_fixed                                        | $03:BBEE - $03:BC01 | $01BBEE - $01BC01 | Code    |     20 |
| _monster_script_reset_modified_action_set                             | $03:BC02 - $03:BC21 | $01BC02 - $01BC21 | Code    |     32 |
| _monster_script_reset_shared_modified_action_set                      | $03:BC22 - $03:BC2D | $01BC22 - $01BC2D | Code    |     12 |
| _monster_script_copy_shared_modified_action_set_to_monster            | $03:BC2E - $03:BC40 | $01BC2E - $01BC40 | Code    |     19 |
| _monster_script_select_random_target                                  | $03:BC41 - $03:BCDD | $01BC41 - $01BCDD | Code    |    157 |
| _monster_condition_check                                              | $03:BCDE - $03:BCF7 | $01BCDE - $01BCF7 | Code    |     26 |
| _monster_condition_opcode_check_status                                | $03:BCF8 - $03:BD4C | $01BCF8 - $01BD4C | Code    |     85 |
| _monster_condition_opcode_check_hp                                    | $03:BD4D - $03:BDB8 | $01BD4D - $01BDB8 | Code    |    108 |
| _monster_condition_opcode_check_flag                                  | $03:BDB9 - $03:BDC7 | $01BDB9 - $01BDC7 | Code    |     15 |
| _monster_condition_opcode_check_living                                | $03:BDC8 - $03:BDFF | $01BDC8 - $01BDFF | Code    |     56 |
| _monster_condition_opcode_check_monster_count                         | $03:BE00 - $03:BE2D | $01BE00 - $01BE2D | Code    |     46 |
| _monster_condition_opcode_check_formation                             | $03:BE2E - $03:BE40 | $01BE2E - $01BE40 | Code    |     19 |
| _monster_condition_opcode_check_acting_type_alone                     | $03:BE41 - $03:BE55 | $01BE41 - $01BE55 | Code    |     21 |
| _monster_condition_opcode_check_recent_attack                         | $03:BE56 - $03:BEAF | $01BE56 - $01BEAF | Code    |     90 |
| _monster_condition_opcode_check_recent_attacks_all                    | $03:BEB0 - $03:BEF3 | $01BEB0 - $01BEF3 | Code    |     68 |
| _monster_condition_opcode_check_running_with_spell                    | $03:BEF4 - $03:BEFB | $01BEF4 - $01BEFB | Code    |      8 |
| _monster_condition_opcode_check_damage                                | $03:BEFC - $03:BF14 | $01BEFC - $01BF14 | Code    |     25 |
| _monster_condition_opcode_check_alone                                 | $03:BF15 - $03:BF1E | $01BF15 - $01BF1E | Code    |     10 |
| _monster_condition_helper_get_offset                                  | $03:BF1F - $03:BF45 | $01BF1F - $01BF45 | Code    |     39 |
| _monster_condition_helper_get_offset_character                        | $03:BF46 - $03:BF88 | $01BF46 - $01BF88 | Code    |     67 |
| _monster_condition_helper_get_offset_monster_type_broken              | $03:BF89 - $03:BFC1 | $01BF89 - $01BFC1 | Code    |     57 |
| _monster_condition_helper_get_offset_self                             | $03:BFC2 - $03:BFD2 | $01BFC2 - $01BFD2 | Code    |     17 |
| _monster_condition_helper_get_offset_character_all                    | $03:BFD3 - $03:BFD8 | $01BFD3 - $01BFD8 | Code    |      6 |
| _monster_condition_helper_get_offset_range                            | $03:BFD9 - $03:C005 | $01BFD9 - $01C005 | Code    |     45 |
| _monster_condition_helper_get_offset_monster_type_0                   | $03:C006 - $03:C00A | $01C006 - $01C00A | Code    |      5 |
| _monster_condition_helper_get_offset_monster_type                     | $03:C00B - $03:C04A | $01C00B - $01C04A | Code    |     64 |
| _monster_condition_helper_get_offset_monster_type_1                   | $03:C04B - $03:C051 | $01C04B - $01C051 | Code    |      7 |
| _monster_condition_helper_get_offset_monster_type_2                   | $03:C052 - $03:C058 | $01C052 - $01C058 | Code    |      7 |
| _monster_condition_helper_get_offset_all                              | $03:C059 - $03:C05E | $01C059 - $01C05E | Code    |      6 |
| _monster_condition_helper_get_offset_all_except_self                  | $03:C05F - $03:C061 | $01C05F - $01C061 | Code    |      3 |
| _monster_condition_helper_get_offset_except_self                      | $03:C062 - $03:C070 | $01C062 - $01C070 | Code    |     15 |
| _monster_condition_helper_get_offset_monster_all                      | $03:C071 - $03:C07B | $01C071 - $01C07B | Code    |     11 |
| _monster_condition_helper_get_offset_monster_all_except_self          | $03:C07C - $03:C081 | $01C07C - $01C081 | Code    |      6 |
| _monster_condition_helper_get_offset_character_front_row              | $03:C082 - $03:C0B5 | $01C082 - $01C0B5 | Code    |     52 |
| _monster_condition_helper_get_offset_character_back_row               | $03:C0B6 - $03:C0E9 | $01C0B6 - $01C0E9 | Code    |     52 |
| _battle_check_invalid_target                                          | $03:C0EA - $03:C103 | $01C0EA - $01C103 | Code    |     26 |
| monster_condition_opcode_jump_data                                    | $03:C104 - $03:C11B | $01C104 - $01C11B | Data    |     24 |
| monster_condition_helper_get_offset_jump_data                         | $03:C11C - $03:C17B | $01C11C - $01C17B | Data    |     96 |
| _battle_process_monster_counters                                      | $03:C17C - $03:C417 | $01C17C - $01C417 | Code    |    668 |
| _battle_get_first_party_target                                        | $03:C418 - $03:C440 | $01C418 - $01C440 | Code    |     41 |
| _monster_script_wait_if_chain                                         | $03:C441 - $03:C46D | $01C441 - $01C46D | Code    |     45 |
| _monster_script_wait_if_chain_separate                                | $03:C46E - $03:C498 | $01C46E - $01C498 | Code    |     43 |
| _battle_command_execute_fight                                         | $03:C499 - $03:C923 | $01C499 - $01C923 | Code    |   1163 |
| _battle_subtract_arrow_if_equipped                                    | $03:C924 - $03:C996 | $01C924 - $01C996 | Code    |    115 |
| _battle_calculate_hits                                                | $03:C997 - $03:C9AE | $01C997 - $01C9AE | Code    |     24 |
| _battle_calculate_damage                                              | $03:C9AF - $03:CA50 | $01C9AF - $01CA50 | Code    |    162 |
| _battle_calculate_damage_apply_multiplier                             | $03:CA51 - $03:CA71 | $01CA51 - $01CA71 | Code    |     33 |
| _battle_get_damage_offset                                             | $03:CA72 - $03:CA7D | $01CA72 - $01CA7D | Code    |     12 |
| _battle_apply_pending_damage                                          | $03:CA7E - $03:CB49 | $01CA7E - $01CB49 | Code    |    204 |
| _battle_apply_physical_status                                         | $03:CB4A - $03:CC45 | $01CB4A - $01CC45 | Code    |    252 |
| _battle_command_execute_magic                                         | $03:CC46 - $03:CD3D | $01CC46 - $01CD3D | Code    |    248 |
| _battle_calculate_magic_damage                                        | $03:CD3E - $03:CD4D | $01CD3E - $01CD4D | Code    |     16 |
| _battle_calculate_magic_damage_skip_audiovisual_setup                 | $03:CD4E - $03:D2A6 | $01CD4E - $01D2A6 | Code    |   1369 |
| _battle_spell_effect_dispatch                                         | $03:D2A7 - $03:D2BB | $01D2A7 - $01D2BB | Code    |     21 |
| _battle_remove_unavailable_spell_targets_if_not_life                  | $03:D2BC - $03:D33D | $01D2BC - $01D33D | Code    |    130 |
| _battle_check_spell_display_name                                      | $03:D33E - $03:D363 | $01D33E - $01D363 | Code    |     38 |
| _battle_check_spell_suppress_flash                                    | $03:D364 - $03:D387 | $01D364 - $01D387 | Code    |     36 |
| _battle_spell_effect_standard_attack                                  | $03:D388 - $03:D3BD | $01D388 - $01D3BD | Code    |     54 |
| _battle_spell_effect_calculate_damage                                 | $03:D3BE - $03:D3C1 | $01D3BE - $01D3C1 | Code    |      4 |
| _battle_spell_effect_attack_plus_sap                                  | $03:D3C2 - $03:D3F3 | $01D3C2 - $01D3F3 | Code    |     50 |
| _battle_spell_effect_helper_set_sap                                   | $03:D3F4 - $03:D41A | $01D3F4 - $01D41A | Code    |     39 |
| _battle_spell_effect_helper_set_sap_done                              | $03:D41B - $03:D41B | $01D41B - $01D41B | Code    |      1 |
| _battle_spell_effect_restore_if_not_undead                            | $03:D41C - $03:D425 | $01D41C - $01D425 | Code    |     10 |
| _battle_spell_damage_standard_restore                                 | $03:D426 - $03:D452 | $01D426 - $01D452 | Code    |     45 |
| _battle_spell_effect_weak                                             | $03:D453 - $03:D475 | $01D453 - $01D475 | Code    |     35 |
| _battle_spell_effect_drain                                            | $03:D476 - $03:D497 | $01D476 - $01D497 | Code    |     34 |
| _battle_spell_effect_psych                                            | $03:D498 - $03:D514 | $01D498 - $01D514 | Code    |    125 |
| _battle_spell_effect_set_status                                       | $03:D515 - $03:D523 | $01D515 - $01D523 | Code    |     15 |
| _battle_spell_effect_set_status_swoon_undead                          | $03:D524 - $03:D5B1 | $01D524 - $01D5B1 | Code    |    142 |
| __battle_spell_effect_set_status_failure                              | $03:D5B2 - $03:D5B5 | $01D5B2 - $01D5B5 | Code    |      4 |
| _battle_spell_effect_set_paralyze_sleep                               | $03:D5B6 - $03:D622 | $01D5B6 - $01D622 | Code    |    109 |
| _battle_spell_effect_set_image                                        | $03:D623 - $03:D62B | $01D623 - $01D62B | Code    |      9 |
| _battle_spell_effect_set_wall                                         | $03:D62C - $03:D65A | $01D62C - $01D65A | Code    |     47 |
| _battle_spell_effect_life                                             | $03:D65B - $03:D6F7 | $01D65B - $01D6F7 | Code    |    157 |
| _battle_spell_effect_heal                                             | $03:D6F8 - $03:D829 | $01D6F8 - $01D829 | Code    |    306 |
| _battle_spell_effect_toggle_status_1                                  | $03:D82A - $03:D84E | $01D82A - $01D84E | Code    |     37 |
| _battle_spell_effect_armor                                            | $03:D84F - $03:D872 | $01D84F - $01D872 | Code    |     36 |
| _battle_spell_effect_shell                                            | $03:D873 - $03:D896 | $01D873 - $01D896 | Code    |     36 |
| _battle_spell_effect_change_speed                                     | $03:D897 - $03:D8AF | $01D897 - $01D8AF | Code    |     25 |
| _battle_spell_effect_dispel                                           | $03:D8B0 - $03:D8ED | $01D8B0 - $01D8ED | Code    |     62 |
| _battle_spell_effect_stop                                             | $03:D8EE - $03:D923 | $01D8EE - $01D923 | Code    |     54 |
| _battle_spell_effect_peep                                             | $03:D924 - $03:D97E | $01D924 - $01D97E | Code    |     91 |
| _battle_spell_effect_run                                              | $03:D97F - $03:D99C | $01D97F - $01D99C | Code    |     30 |
| _battle_spell_effect_actor_hp                                         | $03:D99D - $03:D9F8 | $01D99D - $01D9F8 | Code    |     92 |
| _battle_spell_effect_restore_mp                                       | $03:D9F9 - $03:DA18 | $01D9F9 - $01DA18 | Code    |     32 |
| _battle_spell_effect_restore_full_hp_mp                               | $03:DA19 - $03:DA2A | $01DA19 - $01DA2A | Code    |     18 |
| _battle_spell_effect_damage_and_poison                                | $03:DA2B - $03:DA40 | $01DA2B - $01DA40 | Code    |     22 |
| _battle_command_helper_set_poison                                     | $03:DA41 - $03:DA72 | $01DA41 - $01DA72 | Code    |     50 |
| _battle_spell_effect_damage_and_set_status                            | $03:DA73 - $03:DA8B | $01DA73 - $01DA8B | Code    |     25 |
| _battle_spell_effect_damage_and_set_paralyze_sleep                    | $03:DA8C - $03:DAAD | $01DA8C - $01DAAD | Code    |     34 |
| _battle_spell_effect_sylph                                            | $03:DAAE - $03:DB5E | $01DAAE - $01DB5E | Code    |    177 |
| _battle_spell_effect_odin                                             | $03:DB5F - $03:DBB4 | $01DB5F - $01DBB4 | Code    |     86 |
| _battle_spell_effect_count                                            | $03:DBB5 - $03:DBE4 | $01DBB5 - $01DBE4 | Code    |     48 |
| _battle_spell_effect_target_hp                                        | $03:DBE5 - $03:DC2A | $01DBE5 - $01DC2A | Code    |     70 |
| _battle_spell_effect_set_partial_stone                                | $03:DC2B - $03:DC8F | $01DC2B - $01DC8F | Code    |    101 |
| _battle_spell_effect_gaze                                             | $03:DC90 - $03:DCAF | $01DC90 - $01DCAF | Code    |     32 |
| _battle_spell_effect_bluster                                          | $03:DCB0 - $03:DCCA | $01DCB0 - $01DCCA | Code    |     27 |
| _battle_spell_effect_slap                                             | $03:DCCB - $03:DCEF | $01DCCB - $01DCEF | Code    |     37 |
| _battle_spell_effect_blast                                            | $03:DCF0 - $03:DCFA | $01DCF0 - $01DCFA | Code    |     11 |
| _battle_spell_effect_hug                                              | $03:DCFB - $03:DD11 | $01DCFB - $01DD11 | Code    |     23 |
| _battle_spell_effect_explode                                          | $03:DD12 - $03:DD2E | $01DD12 - $01DD2E | Code    |     29 |
| _battle_spell_effect_reaction                                         | $03:DD2F - $03:DD4D | $01DD2F - $01DD4D | Code    |     31 |
| _battle_spell_effect_remedy                                           | $03:DD4E - $03:DD61 | $01DD4E - $01DD61 | Code    |     20 |
| _battle_spell_effect_absorb                                           | $03:DD62 - $03:DD73 | $01DD62 - $01DD73 | Code    |     18 |
| _battle_spell_effect_target_hp_restore                                | $03:DD74 - $03:DD91 | $01DD74 - $01DD91 | Code    |     30 |
| _battle_spell_effect_damage_and_set_status_swoon_undead               | $03:DD92 - $03:DD97 | $01DD92 - $01DD97 | Code    |      6 |
| _battle_spell_effect_alert                                            | $03:DD98 - $03:DDAD | $01DD98 - $01DDAD | Code    |     22 |
| _battle_spell_effect_zeromus_disrupt                                  | $03:DDAE - $03:DDC5 | $01DDAE - $01DDC5 | Code    |     24 |
| _battle_spell_effect_needle                                           | $03:DDC6 - $03:DDD5 | $01DDC6 - $01DDD5 | Code    |     16 |
| _battle_spell_effect_increment_monsters_invincible                    | $03:DDD6 - $03:DDD8 | $01DDD6 - $01DDD8 | Code    |      3 |
| _battle_spell_effect_do_nothing                                       | $03:DDD9 - $03:DDD9 | $01DDD9 - $01DDD9 | Code    |      1 |
| _battle_spell_effect_decrement_monsters_invincible                    | $03:DDDA - $03:DDDD | $01DDDA - $01DDDD | Code    |      4 |
| _battle_spell_effect_recover                                          | $03:DDDE - $03:DE30 | $01DDDE - $01DE30 | Code    |     83 |
| _battle_spell_effect_transition                                       | $03:DE31 - $03:DF5B | $01DE31 - $01DF5B | Code    |    299 |
| _battle_helper_revive_monster                                         | $03:DF5C - $03:DFAC | $01DF5C - $01DFAC | Code    |     81 |
| _battle_helper_set_monster_type_swoon                                 | $03:DFAD - $03:DFCE | $01DFAD - $01DFCE | Code    |     34 |
| _battle_spell_effect_end_battle                                       | $03:DFCF - $03:DFD4 | $01DFCF - $01DFD4 | Code    |      6 |
| _battle_spell_effect_set_next_target                                  | $03:DFD5 - $03:DFE7 | $01DFD5 - $01DFE7 | Code    |     19 |
| _battle_spell_effect_hatch                                            | $03:DFE8 - $03:DFFC | $01DFE8 - $01DFFC | Code    |     21 |
| _battle_spell_effect_activate_rydia                                   | $03:DFFD - $03:E02C | $01DFFD - $01E02C | Code    |     48 |
| _battle_unset_target                                                  | $03:E02D - $03:E04F | $01E02D - $01E04F | Code    |     35 |
| _battle_command_helper_update_call                                    | $03:E050 - $03:E07A | $01E050 - $01E07A | Code    |     43 |
| _battle_command_helper_copy_rydia_mp                                  | $03:E07B - $03:E090 | $01E07B - $01E090 | Code    |     22 |
| battle_spell_effect_jump_data                                         | $03:E091 - $03:E0FC | $01E091 - $01E0FC | Data    |    108 |
| _battle_spell_set_element_multiplier_immune_resistance                | $03:E0FD - $03:E12F | $01E0FD - $01E12F | Code    |     51 |
| _battle_spell_set_element_multiplier_weakness                         | $03:E130 - $03:E152 | $01E130 - $01E152 | Code    |     35 |
| _battle_command_execute_peep                                          | $03:E153 - $03:E1B1 | $01E153 - $01E1B1 | Code    |     95 |
| _battle_command_execute_flee                                          | $03:E1B2 - $03:E1CB | $01E1B2 - $01E1CB | Code    |     26 |
| _battle_command_execute_sneak                                         | $03:E1CC - $03:E2CE | $01E1CC - $01E2CE | Code    |    259 |
| _battle_command_helper_update_inventory_entry_dialog                  | $03:E2CF - $03:E2DB | $01E2CF - $01E2DB | Code    |     13 |
| _battle_command_execute_heal                                          | $03:E2DC - $03:E34B | $01E2DC - $01E34B | Code    |    112 |
| _battle_command_execute_dart                                          | $03:E34C - $03:E3D0 | $01E34C - $01E3D0 | Code    |    133 |
| _battle_command_execute_change                                        | $03:E3D1 - $03:E3F9 | $01E3D1 - $01E3F9 | Code    |     41 |
| _battle_command_execute_bless                                         | $03:E3FA - $03:E437 | $01E3FA - $01E437 | Code    |     62 |
| _battle_command_execute_bless_off                                     | $03:E438 - $03:E43D | $01E438 - $01E43D | Code    |      6 |
| _battle_command_execute_twin                                          | $03:E43E - $03:E4D5 | $01E43E - $01E4D5 | Code    |    152 |
| _battle_command_execute_twin_failed                                   | $03:E4D6 - $03:E4E2 | $01E4D6 - $01E4E2 | Code    |     13 |
| _battle_command_execute_twin_cast                                     | $03:E4E3 - $03:E60E | $01E4E3 - $01E60E | Code    |    300 |
| _battle_command_execute_cover                                         | $03:E60F - $03:E652 | $01E60F - $01E652 | Code    |     68 |
| _battle_command_execute_off                                           | $03:E653 - $03:E695 | $01E653 - $01E695 | Code    |     67 |
| _battle_command_execute_endure                                        | $03:E696 - $03:E6B3 | $01E696 - $01E6B3 | Code    |     30 |
| _battle_command_execute_kick                                          | $03:E6B4 - $03:E6B8 | $01E6B4 - $01E6B8 | Code    |      5 |
| _battle_calculate_kick_dark_wave_damage                               | $03:E6B9 - $03:E7EF | $01E6B9 - $01E7EF | Code    |    311 |
| _battle_command_execute_build_up                                      | $03:E7F0 - $03:E822 | $01E7F0 - $01E822 | Code    |     51 |
| _battle_command_execute_release                                       | $03:E823 - $03:E835 | $01E823 - $01E835 | Code    |     19 |
| _battle_command_execute_aim                                           | $03:E836 - $03:E851 | $01E836 - $01E851 | Code    |     28 |
| _battle_command_execute_pray                                          | $03:E852 - $03:E875 | $01E852 - $01E875 | Code    |     36 |
| _battle_command_execute_hide                                          | $03:E876 - $03:E8BA | $01E876 - $01E8BA | Code    |     69 |
| _battle_command_execute_show                                          | $03:E8BB - $03:E8FF | $01E8BB - $01E8FF | Code    |     69 |
| _battle_command_execute_sing                                          | $03:E900 - $03:E953 | $01E900 - $01E953 | Code    |     84 |
| _battle_command_execute_jump                                          | $03:E954 - $03:E9A1 | $01E954 - $01E9A1 | Code    |     78 |
| _battle_command_execute_land                                          | $03:E9A2 - $03:E9DD | $01E9A2 - $01E9DD | Code    |     60 |
| _battle_command_execute_parry                                         | $03:E9DE - $03:E9E8 | $01E9DE - $01E9E8 | Code    |     11 |
| _battle_command_execute_dark_wave                                     | $03:E9E9 - $03:EA19 | $01E9E9 - $01EA19 | Code    |     49 |
| _battle_command_execute_recall                                        | $03:EA1A - $03:EAC2 | $01EA1A - $01EAC2 | Code    |    169 |
| _battle_command_execute_bluff                                         | $03:EAC3 - $03:EAE5 | $01EAC3 - $01EAE5 | Code    |     35 |
| _battle_command_execute_cry                                           | $03:EAE6 - $03:EB28 | $01EAE6 - $01EB28 | Code    |     67 |
| _battle_command_helper_update_inventory_entry                         | $03:EB29 - $03:EB9C | $01EB29 - $01EB9C | Code    |    116 |
| _battle_command_execute_item                                          | $03:EB9D - $03:EC0C | $01EB9D - $01EC0C | Code    |    112 |
| _battle_item_execute_grimoire                                         | $03:EC0D - $03:EC6C | $01EC0D - $01EC6C | Code    |     96 |
| _battle_spoils                                                        | $03:EC6D - $03:F028 | $01EC6D - $01F028 | Code    |    956 |
| _battle_update_character_stats_spells                                 | $03:F029 - $03:F0C7 | $01F029 - $01F0C7 | Code    |    159 |
| _battle_update_character_max                                          | $03:F0C8 - $03:F102 | $01F0C8 - $01F102 | Code    |     59 |
| _battle_update_spell_list_level_up                                    | $03:F103 - $03:F185 | $01F103 - $01F185 | Code    |    131 |
| _battle_end_copy_battle_to_field                                      | $03:F186 - $03:F20F | $01F186 - $01F20F | Code    |    138 |
| UNUSED_03F210                                                         | $03:F210 - $03:F27F | $01F210 - $01F27F | Unused  |    112 |
| binary_to_decimal_data                                                | $03:F280 - $03:F29B | $01F280 - $01F29B | Data    |     28 |
| battle_format_number_long                                             | $03:F29C - $03:F2DB | $01F29C - $01F2DB | Code    |     64 |
| _battle_format_number_long_divide                                     | $03:F2DC - $03:F30A | $01F2DC - $01F30A | Code    |     47 |
| battle_check_equipment_compatibility                                  | $03:F30B - $03:F417 | $01F30B - $01F417 | Code    |    269 |
| battle_monster_slow_dissolve                                          | $03:F418 - $03:F478 | $01F418 - $01F478 | Code    |     97 |
| battle_monster_slow_dissolve_data                                     | $03:F479 - $03:F499 | $01F479 - $01F499 | Data    |     33 |
| _battle_monster_slow_dissolve_set_hdma                                | $03:F49A - $03:F4D7 | $01F49A - $01F4D7 | Code    |     62 |
| battle_effect_spell_set_oam_entry                                     | $03:F4D8 - $03:F540 | $01F4D8 - $01F540 | Code    |    105 |
| battle_load_monster_death_palette                                     | $03:F541 - $03:F554 | $01F541 - $01F554 | Code    |     20 |
| battle_monster_slot_map_enable_pre_action                             | $03:F555 - $03:F569 | $01F555 - $01F569 | Code    |     21 |
| battle_monster_slot_map_disable_pre_action                            | $03:F56A - $03:F57E | $01F56A - $01F57E | Code    |     21 |
| battle_zeromus_death_sound_effect_data                                | $03:F57F - $03:F582 | $01F57F - $01F582 | Data    |      4 |
| _battle_zeromus_death_play_sound_effect                               | $03:F583 - $03:F590 | $01F583 - $01F590 | Code    |     14 |
| battle_zeromus_death_animation                                        | $03:F591 - $03:F608 | $01F591 - $01F608 | Code    |    120 |
| _battle_zeromus_flash                                                 | $03:F609 - $03:F62F | $01F609 - $01F62F | Code    |     39 |
| battle_update_coordinates_walk_left                                   | $03:F630 - $03:F63E | $01F630 - $01F63E | Code    |     15 |
| battle_update_coordinates_walk_right                                  | $03:F63F - $03:F64D | $01F63F - $01F64D | Code    |     15 |
| _battle_update_offset_walking                                         | $03:F64E - $03:F677 | $01F64E - $01F677 | Code    |     42 |
| frame_mask_data                                                       | $03:F678 - $03:F67F | $01F678 - $01F67F | Data    |      8 |
| battle_set_monster_center_coordinates                                 | $03:F680 - $03:F6F4 | $01F680 - $01F6F4 | Code    |    117 |
| battle_get_character_palette_index                                    | $03:F6F5 - $03:F712 | $01F6F5 - $01F712 | Code    |     30 |
| battle_monster_effect_audio_data                                      | $03:F713 - $03:F718 | $01F713 - $01F718 | Data    |      6 |
| _battle_pose_clear_status_override                                    | $03:F719 - $03:F740 | $01F719 - $01F740 | Code    |     40 |
| battle_check_character_disabled_or_monsters_dead                      | $03:F741 - $03:F76D | $01F741 - $01F76D | Code    |     45 |
| battle_load_background_palette                                        | $03:F76E - $03:F7BB | $01F76E - $01F7BB | Code    |     78 |
| battle_background_alternate_palette_index_data                        | $03:F7BC - $03:F7CC | $01F7BC - $01F7CC | Data    |     17 |
| battle_increment_game_time                                            | $03:F7CD - $03:F7E7 | $01F7CD - $01F7E7 | Code    |     27 |
| battle_alternate_party_sprite_get_next_tile                           | $03:F7E8 - $03:F824 | $01F7E8 - $01F824 | Code    |     61 |
| battle_fade_sprites_from_white                                        | $03:F825 - $03:F844 | $01F825 - $01F844 | Code    |     32 |
| battle_effect_chime_and_flash                                         | $03:F845 - $03:F863 | $01F845 - $01F863 | Code    |     31 |
| _battle_wait_8_frames                                                 | $03:F864 - $03:F866 | $01F864 - $01F866 | Code    |      3 |
| battle_animate_big_bang                                               | $03:F86F - $03:F8BD | $01F86F - $01F8BD | Code    |     79 |
| _battle_zeromus_background_enable_reverse                             | $03:F8BE - $03:F8DF | $01F8BE - $01F8DF | Code    |     34 |
| _battle_zeromus_background_disable_reverse                            | $03:F8E0 - $03:F901 | $01F8E0 - $01F901 | Code    |     34 |
| battle_update_zeromus_background_scroll                               | $03:F902 - $03:F949 | $01F902 - $01F949 | Code    |     72 |
| zeromus_background_scroll_delta_normal_data                           | $03:F94A - $03:F95B | $01F94A - $01F95B | Data    |     18 |
| zeromus_background_scroll_delta_big_bang_data                         | $03:F95C - $03:F96D | $01F95C - $01F96D | Data    |     18 |
| zeromus_background_scroll_hdma_count_data                             | $03:F96E - $03:F97F | $01F96E - $01F97F | Data    |     18 |
| battle_animate_monster_horizontal_shake                               | $03:F980 - $03:F9B5 | $01F980 - $01F9B5 | Code    |     54 |
| battle_animate_bahamut_sprites                                        | $03:F9C1 - $03:FA30 | $01F9C1 - $01FA30 | Code    |    112 |
| _battle_effect_bahamut_initialize_coordinates                         | $03:FA31 - $03:FA47 | $01FA31 - $01FA47 | Code    |     23 |
| _battle_effect_bahamut_update_oam                                     | $03:FA48 - $03:FAC1 | $01FA48 - $01FAC1 | Code    |    122 |
| _battle_increment_generic_tmp_ptr_2_addr                              | $03:FAC2 - $03:FAC7 | $01FAC2 - $01FAC7 | Code    |      6 |
| battle_update_monster_dissolve                                        | $03:FAC8 - $03:FAE4 | $01FAC8 - $01FAE4 | Code    |     29 |
| _battle_update_monster_dissolve                                       | $03:FAE5 - $03:FB5C | $01FAE5 - $01FB5C | Code    |    120 |
| _battle_menu_toggle_pause_display                                     | $03:FB5D - $03:FB73 | $01FB5D - $01FB73 | Code    |     23 |
| _battle_audio_pause_enable                                            | $03:FB74 - $03:FB7E | $01FB74 - $01FB7E | Code    |     11 |
| _battle_audio_pause_disable                                           | $03:FB7F - $03:FB87 | $01FB7F - $01FB87 | Code    |      9 |
| _battle_audio_pause_common                                            | $03:FB88 - $03:FB9B | $01FB88 - $01FB9B | Code    |     20 |
| battle_check_pause                                                    | $03:FB9C - $03:FC3D | $01FB9C - $01FC3D | Code    |    162 |
| battle_update_color_math                                              | $03:FC3E - $03:FD47 | $01FC3E - $01FD47 | Code    |    266 |
| _battle_set_cgadsub                                                   | $03:FD48 - $03:FD52 | $01FD48 - $01FD52 | Code    |     11 |
| battle_initialize_alternate_party_sprite                              | $03:FD53 - $03:FDCF | $01FD53 - $01FDCF | Code    |    125 |
| battle_update_joypad                                                  | $03:FDD0 - $03:FE02 | $01FDD0 - $01FE02 | Code    |     51 |
| battle_copy_oam_to_ppu                                                | $03:FE03 - $03:FE45 | $01FE03 - $01FE45 | Code    |     67 |
| battle_init_hdma                                                      | $03:FE46 - $03:FEBD | $01FE46 - $01FEBD | Code    |    120 |
| battle_copy_cgram_to_ppu                                              | $03:FEBE - $03:FEE2 | $01FEBE - $01FEE2 | Code    |     37 |
| UNUSED_03FEE3                                                         | $03:FEE3 - $03:FFFF | $01FEE3 - $01FFFF | Unused  |    285 |
| init_apu                                                              | $04:8000 - $04:8003 | $020000 - $020003 | Code    |      4 |
| play_audio                                                            | $04:8004 - $04:8007 | $020004 - $020007 | Code    |      4 |
| _init_apu                                                             | $04:8008 - $04:8106 | $020008 - $020106 | Code    |    255 |
| _play_audio                                                           | $04:8107 - $04:816E | $020107 - $02016E | Code    |    104 |
| _play_mode_song                                                       | $04:816F - $04:85E0 | $02016F - $0205E0 | Code    |   1138 |
| _play_mode_sound_effect                                               | $04:85E1 - $04:8607 | $0205E1 - $020607 | Code    |     39 |
| _play_mode_direct_effect                                              | $04:8608 - $04:861D | $020608 - $02061D | Code    |     22 |
| _play_mode_special                                                    | $04:861E - $04:864D | $02061E - $02064D | Code    |     48 |
| _calculate_audio_address                                              | $04:864E - $04:8682 | $02064E - $020682 | Code    |     53 |
| apu_data                                                              | $04:8683 - $04:982F | $020683 - $02182F | Data    |   4525 |
| sound_effect_pitch_adjustment_data                                    | $04:9830 - $04:9853 | $021830 - $021853 | Data    |     36 |
| sound_effect_source_directory_data                                    | $04:9854 - $04:9877 | $021854 - $021877 | Data    |     36 |
